QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,MCC,NBD,LOC,#Pa,#MC,#AF
<Method>com.thoughtworks.selenium.DefaultSelenium.public getCursorPosition( String ): Number,getCursorPosition( String ): Number,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public getElementHeight( String ): Number,getElementHeight( String ): Number,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public getElementIndex( String ): Number,getElementIndex( String ): Number,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public getElementPositionLeft( String ): Number,getElementPositionLeft( String ): Number,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public getElementPositionTop( String ): Number,getElementPositionTop( String ): Number,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public getElementWidth( String ): Number,getElementWidth( String ): Number,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public getEval( String ): String,getEval( String ): String,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public getExpression( String ): String,getExpression( String ): String,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public getHtmlSource( ): String,getHtmlSource( ): String,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public getLocation( ): String,getLocation( ): String,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public getLog( ): String,getLog( ): String,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,1,1
<Method>com.thoughtworks.selenium.DefaultSelenium.public getMouseSpeed( ): Number,getMouseSpeed( ): Number,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,1,1
